id;LOCphy_C;MVG_C;Volume_C;MI_C;qwen2_5_coder_32b_SLOC_R;qwen2_5_coder_32b_Cyclomatic_R;qwen2_5_coder_32b_Volume_R;qwen2_5_coder_32b_MI_R;qwen2_5_coder_32b_total_unsafe_block_R;qwen2_5_coder_32b_avg_unsafe_stmt_R;qwen2_5_coder_32b_total_uniq_type_R
libxml2:xmlwriter_prep:xmlTextWriterWriteFormatCDATA;11.0;1.0;212.607;104.055;7.0;1.0;229.24812503605781;110.98526993673889;0;0.0;3
wget-1.21.4:utils_prep:match_tail;11.0;3.0;359.491;100.864;10.0;3.0;312.4780699337442;103.1365431828862;0;0.0;3
tar-1.34:paxerror_prep:stat_fatal;5.0;1.0;64.725;123.012;3.0;1.0;39.86313713864835;133.808130442365;0;0.0;1
uucp-1.07:cwd_prep:fsysdep_needs_cwd;6.0;2.0;92.0;118.0;6.0;3.0;192.71802844378476;113.92511033240928;1;2.0;1
transcoder-set:COUNT_EVEN_LENGTH_BINARY_SEQUENCES_WITH_SAME_SUM_OF_FIRST_AND_SECOND_HALF_BITS_1_prep:len;1.0;1.0;121.114;145.827;3.0;1.0;97.67226489021297;129.14806920389006;0;0.0;1
transcoder-set:QUERIES_COUNTS_ARRAY_ELEMENTS_VALUES_GIVEN_RANGE_prep:len;1.0;1.0;121.114;145.827;3.0;1.0;88.0;129.69032948828996;0;0.0;1
screen-4.9.0:layer_prep:LCDisplayLineWrap;13.0;7.0;1602.83;89.4643;23.0;7.0;1098.2981609467072;82.1871046033877;3;3.0;6
libxml2:xmlschemas_prep:xmlSchemaValidateOneElement;12.0;5.0;490.465;97.3787;14.0;5.0;362.2120375569713;96.4576764070656;1;3.0;2
libxml2:libxml2-py_prep:libxml_xmlUCSIsMalayalam;13.0;3.0;518.058;96.2574;14.0;3.0;446.24762247421205;95.83272643272079;0;0.0;3
gawk-5.2.2:field_prep:update_PROCINFO_str;9.0;2.0;343.645;104.579;10.0;2.0;267.9250639340422;104.16644338152297;1;4.0;2
optipng-0.7.8:pngget_prep:png_get_hIST;13.0;5.0;390.136;97.272;9.0;5.0;355.74426423226265;103.70905885533863;1;3.0;3
transcoder-set:CHECK_LARGE_NUMBER_DIVISIBLE_4_NOT_prep:cmpfunc;1.0;1.0;128.0;145.539;3.0;1.0;77.70923408096293;130.33701563969998;1;1.0;2
json.h:allow_json5_prep:json_write_pretty;42.0;10.0;1173.78;71.3962;48.0;10.0;1275.172217354993;68.80219371457912;0;0.0;7
gprolog-1.5.0:foreign_supp_prep:Pl_Query_Recover_Alt_0;5.0;1.0;38.0391;125.776;3.0;1.0;27.0;135.83412922035413;0;0.0;0
transcoder-set:PRODUCT_MAXIMUM_FIRST_ARRAY_MINIMUM_SECOND_1_prep:min;1.0;2.0;83.7618;147.515;3.0;2.0;71.69925001442311;130.5255834285715;0;0.0;2
transcoder-set:FIND_ROTATION_COUNT_ROTATED_SORTED_ARRAY_1_prep:sort;1.0;1.0;110.361;146.31;3.0;1.0;118.94197037642039;128.12357512612607;0;0.0;2
bc-1.07.1:scan_prep:yy_delete_buffer;10.0;5.0;389.901;101.525;17.0;5.0;431.80637241354964;92.39846199232994;1;7.0;1
