id;LOCphy_C;MVG_C;Volume_C;MI_C;qwen2_5_coder_32b_SLOC_R;qwen2_5_coder_32b_Cyclomatic_R;qwen2_5_coder_32b_Volume_R;qwen2_5_coder_32b_MI_R;qwen2_5_coder_32b_total_unsafe_block_R;qwen2_5_coder_32b_avg_unsafe_stmt_R;qwen2_5_coder_32b_total_uniq_type_R
transcoder-set:MAXIMUM_PRODUCT_SUBARRAY_ADDED_NEGATIVE_PRODUCT_CASE_prep:main;25.0;3.0;5055.09;73.8178;5.0;1.0;1500.5382971591425;106.66649404363778;0;0.0;3
nettle-3.9.1:ccm-aes256_prep:nettle_ccm_aes256_encrypt;7.0;1.0;218.261;111.241;7.0;1.0;100.0;115.29937061816585;1;1.0;4
transcoder-set:PROGRAM_PRINT_SUM_GIVEN_NTH_TERM_prep:min;1.0;2.0;83.7618;147.515;3.0;2.0;71.69925001442311;130.5255834285715;0;0.0;2
transcoder-set:CHECK_IF_STRING_REMAINS_PALINDROME_AFTER_REMOVING_GIVEN_NUMBER_OF_CHARACTERS_prep:min;1.0;2.0;83.7618;147.515;3.0;2.0;71.69925001442311;130.5255834285715;0;0.0;2
transcoder-set:DIVISIBILITY_9_USING_BITWISE_OPERATORS_prep:cmpfunc;1.0;1.0;128.0;145.539;3.0;1.0;77.70923408096293;130.33701563969998;1;1.0;2
transcoder-set:MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS_2_prep:sort;1.0;1.0;110.361;146.31;3.0;1.0;127.43782540330756;127.76481219439393;0;0.0;2
transcoder-set:SUBSEQUENCES_SIZE_THREE_ARRAY_WHOSE_SUM_DIVISIBLE_M_prep:sort;1.0;1.0;110.361;146.31;3.0;1.0;123.18989788986397;127.94110026310747;0;0.0;2
tulipindicators-0.9.1:tiamalgamation_prep:ti_typprice_start;4.0;1.0;68.5324;126.33;4.0;1.0;60.91767875292167;126.94250954454398;0;0.0;1
urlparser:url_prep:url_get_scheme;9.0;3.0;329.714;104.564;11.0;3.0;386.42731221017624;100.48798890587292;3;1.3333333333333333;1
transcoder-set:SMALLEST_SUM_CONTIGUOUS_SUBARRAY_prep:cmpfunc;1.0;1.0;128.0;145.539;3.0;1.0;77.70923408096293;130.33701563969998;1;1.0;2
heman:quaternion_prep:kmQuaternionAreEqual;9.0;9.0;620.149;99.8992;11.0;9.0;554.7804625872599;97.22751972322465;1;3.0;2
transcoder-set:COUNT_SET_BITS_IN_AN_INTEGER_1_prep:min;1.0;2.0;83.7618;147.515;3.0;2.0;71.69925001442311;130.5255834285715;0;0.0;2
transcoder-set:SUM_OF_ALL_PROPER_DIVISORS_OF_A_NATURAL_NUMBER_prep:cmpfunc;1.0;1.0;128.0;145.539;3.0;1.0;81.40967379910403;130.09511155839854;1;1.0;2
screen-4.9.0:layer_prep:LMsg;28.0;7.0;1162.42;78.7053;17.0;2.0;877.3767683311332;89.40187397154455;0;0.0;4
urlparser:url_prep:url_get_fragment;4.0;4.0;290.048;118.138;12.0;3.0;250.76823424783512;101.32696072966283;1;4.0;1
libxml2:libxml2-py_prep:libxml_xmlInitParser;6.0;1.0;225.176;113.576;7.0;1.0;130.79881092001085;113.90322177489185;1;3.0;2
nano-7.2:prompt_prep:do_statusbar_right;8.0;4.0;228.401;108.151;8.0;4.0;325.69646083610496;106.30602462614573;0;0.0;2
libxml2:parser_prep:xmlParseDoc;4.0;1.0;112.0;123.776;5.0;1.0;100.07820003461549;120.7461560387649;1;1.0;1
transcoder-set:ROUND_THE_GIVEN_NUMBER_TO_NEAREST_MULTIPLE_OF_10_prep:min;1.0;2.0;83.7618;147.515;3.0;2.0;71.69925001442311;130.5255834285715;0;0.0;2
findutils-4.9.0:parser_prep:parse_print;12.0;1.0;384.696;99.5618;11.0;1.0;307.60221301187687;102.13429793399317;1;5.0;3
gawk-5.2.2:array_prep:indent;7.0;2.0;142.624;113.223;9.0;2.0;165.0586500259616;108.39219734684276;1;3.0;2
libosip2-5.3.1:osip_prep:osip_start_200ok_retransmissions;12.0;2.0;442.609;98.6025;14.0;2.0;485.0;95.6296970273579;1;5.0;5
pexec-1.0rc8:fifo_prep:fifo_peek;10.0;1.0;276.716;104.229;8.0;1.0;303.0786510558199;107.3702868241962;0;0.0;3
wget-1.21.4:host_prep:is_valid_ip_address;11.0;3.0;227.431;103.244;10.0;3.0;221.65453584679364;104.92229736356374;0;0.0;1
tar-1.34:misc_prep:xfork;8.0;2.0;162.516;110.381;7.0;2.0;147.1612434150308;113.06030541133248;0;0.0;0
nano-7.2:move_prep:do_prev_word;29.0;9.0;1242.8;77.3292;29.0;9.0;1286.989935761284;77.14748833846903;0;0.0;2
less-633:edit_prep:save_curr_ifile;6.0;2.0;155.324;115.277;8.0;2.0;160.47368752524045;110.44677108470302;1;3.0;0
json.h:allow_location_information_prep:json_get_string_size;126.0;40.0;4375.74;39.8563;40.0;12.0;1328.2024543268744;71.08392764473977;0;0.0;5
json-c:json_object_prep:json_object_set_userdata;8.0;4.0;514.528;103.928;10.0;3.0;447.08400775135715;101.27383962194658;1;5.0;3
less-633:search_prep:chg_caseless;11.0;3.0;191.756;104.132;12.0;3.0;135.93368043019473;104.51124323433635;1;6.0;0
transcoder-set:QUICK_WAY_CHECK_CHARACTERS_STRING_prep:f_filled;1.0;1.0;33.2193;152.554;3.0;1.0;41.51317942364757;133.5972239664512;0;0.0;1
libxml2:catalog_prep:xmlCatalogConvert;10.0;2.0;208.084;105.481;10.0;2.0;218.26124091941205;105.2325194629668;0;0.0;1
transcoder-set:TOTAL_NUMBER_OF_NON_DECREASING_NUMBERS_WITH_N_DIGITS_1_prep:main;14.0;3.0;548.159;94.7631;12.0;3.0;422.8321775089799;98.61024041783949;0;0.0;2
transcoder-set:FIND_SUM_MODULO_K_FIRST_N_NATURAL_NUMBER_1_prep:sort;1.0;1.0;110.361;146.31;3.0;1.0;123.18989788986397;127.94110026310747;0;0.0;2
transcoder-set:MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS_1_prep:f_gold;12.0;6.0;277.389;100.112;11.0;6.0;238.32032633211963;102.31129505659325;0;0.0;3
transcoder-set:FIND_HARMONIC_MEAN_USING_ARITHMETIC_MEAN_GEOMETRIC_MEAN_prep:max;1.0;2.0;83.7618;147.515;3.0;2.0;75.28421251514428;130.27187457489046;0;0.0;2
transcoder-set:PROGRAM_OCTAL_DECIMAL_CONVERSION_prep:main;14.0;3.0;551.828;94.7284;14.0;3.0;444.67681638330095;95.85106289265016;1;1.0;2
binn-3.0:binn_prep:binn_list_float;5.0;1.0;164.233;118.17;5.0;1.0;199.03672606650858;117.17096114243517;0;0.0;3
transcoder-set:REMOVE_MINIMUM_ELEMENTS_EITHER_SIDE_2MIN_MAX_prep:f_gold;22.0;9.0;807.465;84.0468;33.0;9.0;776.6932719896506;77.68034083619797;0;0.0;5
heman:quaternion_prep:kmQuaternionMultiply;16.0;1.0;986.17;90.0062;11.0;1.0;686.7524692701438;97.95783219376978;1;4.0;3
transcoder-set:GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM_prep:cmpfunc;1.0;1.0;128.0;145.539;3.0;1.0;77.70923408096293;130.33701563969998;1;1.0;2
transcoder-set:NEXT_POWER_OF_2_2_prep:f_gold;10.0;1.0;208.148;105.709;11.0;1.0;249.72817064368866;103.21815693449787;0;0.0;2
json.h:allow_hexadecimal_numbers_prep:json_value_as_string;6.0;2.0;158.123;115.184;9.0;2.0;124.0;109.87949770600703;1;4.0;1
gprolog-1.5.0:arith_inl_c_prep:Pl_Fct_Fast_Shr;7.0;1.0;303.241;109.531;5.0;1.0;177.19905189038187;117.7752826427828;0;0.0;0
screen-4.9.0:logfile_prep:logfflush;19.0;7.0;692.77;87.6785;23.0;7.0;675.9488119940328;84.71118347532507;1;13.0;2
mtools-4.0.43:stream_prep:get_dosConvert_pass_through;4.0;1.0;109.393;123.898;5.0;1.0;110.70181179639351;120.22153674578118;1;1.0;1
tmux:environ_prep:environ_RB_NFIND;1.0;4.0;549.839;137.27;17.0;4.0;471.06149717841777;92.17600283198388;0;0.0;3
libxml2:libxml2-py_prep:libxml_htmlDocContentDumpFormatOutput;16.0;4.0;1047.27;89.0036;3.0;1.0;72.33974351909448;130.70933778224418;0;0.0;2
pth-2.0.7:pth_pqueue_prep:__pth_pqueue_delmax;26.0;4.0;907.185;81.885;30.0;4.0;849.8256827287746;79.90643992066038;0;0.0;1
transcoder-set:DICE_THROW_PROBLEM_1_prep:min;1.0;2.0;83.7618;147.515;3.0;2.0;75.28421251514428;130.27187457489046;0;0.0;2
uucp-1.07:protz_prep:fzsendcmd;27.0;9.0;1219.87;78.5837;12.0;2.0;354.2428288627686;99.76060257033146;1;5.0;4
libxml2:tree_prep:xmlNewTextChild;33.0;10.0;1197.09;75.2008;35.0;9.0;861.7195468467544;76.18692610046635;1;20.0;4
wget-1.21.4:iri_prep:iri_free;11.0;6.0;642.158;97.157;13.0;2.0;329.42407511394265;98.8416217143012;0;0.0;1
